name,aliases,slug,tier,sourceGroup,category,website,logoUrl,whatTheyDo,whatTheyDo_method,whatTheyDo_variant,whatTheyDo_sourceUrl,whatTheyDo_fetchedAt,whatTheyDo_writer,whatTheyDo_note,useCases,useCases_method,useCases_basis,useCases_fetchedAt,useCases_writer,useCases_note,whatTheyDo_unsourced,useCases_unsourced,unsourced_method,unsourced_confidence,unsourced_writer,unsourced_note,confidence,confidenceScore,confidence_method,confidence_originalValue,confidence_thresholds,confidence_note,logoUrl_method,logoUrl_sourceUrl,sourceUrl,extractedAt,lastSeenAt,status,isDataArtifact,year,recordId
5paisa Capital Limited,,5paisa-capital-limited,Exhibitor,Exhibitors,lending,https://www.5paisa.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/cbd3a8c3-77cd-40ec-b59b-44142f1739f7-5paisaCapital.png,"Start online trading with 5paisa – a trusted stock broking company in India. Trade stocks, derivatives & more on a secure platform at just ₹20/order.",apify:apify/website-content-crawler,meta-description,https://www.5paisa.com/,2026-08-12T13:30:52Z,,,trading and brokerage,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9c96
86400,,86400,Payment Processing Partner,Partners,payments,https://www.86400.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/231daa7c-3ee3-46db-b07b-619ea921ebd3-86400.png,"86400 empowers banks and fintechs with secure digital payment infrastructure and advanced API banking solutions. Enable UPI, IMPS, BBPS, AePS & more with scalable, high-performance payment technology.",apify:apify/website-content-crawler,meta-description,https://www.86400.in/,2026-08-12T13:30:52Z,,,UPI payments;cloud infrastructure,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,Payment processing company listed as GFF's Payment Processing Partner; a detailed description was not published on the GFF partner page.,Payment processing services,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.3,normalised-from-numeric,0.3,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f3bb
Aadhaar,,aadhaar,Exhibitor,Exhibitors,other,https://myaadhaar.uidai.gov.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/c43e84ae-eb80-47e6-b0c4-f86c9768a0bb-aadhaar-website-logo.png,One portal for all online Aadhaar Services.,direct-meta-description,,https://myaadhaar.uidai.gov.in/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,identity verification,phrase-match:whatTheyDo,direct-meta-description,2026-08-12T13:32:27Z,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9c97
Adyen,,adyen,Global Enterprise Payments Partner,Partners,payments,https://www.adyen.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/c605646e-dd06-4780-a7e3-d2cbf093bab6-adyen-website-logo.png,"Run payments, manage your data, and offer financial products in one platform. Adyen is purpose-built for the world",direct-meta-description,,https://www.adyen.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,unsourced,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified","Global payments platform providing a single stack for online, in-store and in-app payments for large enterprises.",Unified global payment acceptance;Multi-currency cross-border settlement;Embedded payments for platforms and marketplaces;Unified commerce across online and offline channels,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f364
Aerospike,,aerospike,Bronze Partner,Partners,infra,https://aerospike.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/25ed8290-6ad6-464c-86a9-c4e8aa0b9ef0-aerospike-website-logo.png,"Aerospike is the real-time database for AI, trusted in the world",direct-meta-description,,https://aerospike.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AI and automation,phrase-match:whatTheyDo,,,,,"Real-time NoSQL database used for high-throughput, low-latency workloads such as fraud detection and payment authorisation.",Sub-millisecond fraud scoring at transaction time;Real-time payment authorisation data;Customer 360 profile stores;High-volume digital identity lookups,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.7,normalised-from-numeric,0.7,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f3b1
Affluense.ai,,affluense-ai,Exhibitor,Exhibitors,ai,https://www.affluense.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/fb3bf1da-ffb8-4e19-ba87-f1faf5306f94-affluense.ai-website-logo.png,"Discover HNI prospects, enrich client profiles, track real-time wealth events, and map warm introduction paths — built for India",direct-meta-description,,https://www.affluense.ai/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9c98
AFN,,afn,Ecosystem,Ecosystem,other,,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/96ea3fa1-c90b-4de6-a08d-970461d53b9a-AFN.png,,,,,,,,,,,,,,,,,,,,low,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9c99
Agentic Universe,,agentic-universe,Gold Partner,Partners,ai,https://agenticuniverse.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/d8c02294-04db-4e63-868d-6072c99b94e4-agentic-universe-website-logo.png,"Secure, compliant, multilingual Agentic AI for banking and insurance. Agentic AI that finishes the job across voice, chat, WhatsApp and SMS, governed.",apify:apify/website-content-crawler,meta-description,https://agenticuniverse.ai/,2026-08-12T13:30:52Z,,,AML and compliance;insurance distribution;customer communication;AI and automation,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,AI agents company listed as a GFF 2026 Gold Partner; a detailed product description was not published on the GFF partner page.,AI agent solutions for financial services,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.3,normalised-from-numeric,0.3,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f3b9
Airtel Payments Bank,,airtel-payments-bank,Gold Partner,Partners,banking,https://www.airtelpayments.bank.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/75214ca4-77f7-417a-ada6-7c1a1a84f523-airtel-payments-bank-website-logo.png,Open an account with zero minimum balance and no hidden charges. Enjoy instant access to your funds with our quick and hassle-free account opening process.,apify:apify/website-content-crawler,meta-description,https://www.airtelpayments.bank.in/,2026-08-12T13:30:52Z,,,,unsourced,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified","Indian payments bank offering savings accounts, digital payments, remittances and banking services through a large retail and rural agent network.",Assisted banking through rural retail points;Domestic money transfer and remittances;Digital savings accounts and UPI;Cash-in cash-out and AePS services,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f389
Alankit,,alankit,Exhibitor,Exhibitors,other,https://www.alankit.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/a776928c-00bc-42f9-99d0-9d8c136922dc-alankit-website-logo.png,"Alankit is known for its inventive solutions in e-Governance services, Financial services, Insurance services, and Healthcare services in India. Visit Now !",direct-meta-description,,https://www.alankit.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,insurance distribution,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9c9a
