agendaCode,title,day,startTime,endTime,hall,format,track,topics,accessType,isClosedDoor,description,speakerNames,speakersWithTitles,hostNames,hostsWithTitles,status,withdrawnDetectedAt,sourceUrl,lastSeenAt,documentId,year,recordId
A0029,Potential to Impact: Agentic AI - Tokenisation - Quantum,2026-09-09,10:00,10:50,Jasmine 3,Inaugural Session,Policy,Policy,public,false,"Trusted, Connected, Global Systems for Inclusive Finance",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,5a6e1ebe-6d13-42ef-af4e-964dd734af12,2026,6a7c768116afc6a8747c999f
A0778,Algorithmic Trading & Market Integrity: The Next Regulatory Challenge,2026-09-09,10:35,11:05,Lotus 1,Panel Discussion,"Capital Markets, Algorithmic Trading,, Market Integrity","Capital Markets;Algorithmic Trading,;Market Integrity",public,false,"With increasing automation, how can SEBI ensure fairness, transparency, and systemic stability?",Sanjay Shorey;Ambarish Kenghe,"Sanjay Shorey, Executive Director, National Stock Exchange of India;Ambarish Kenghe, Group Chief Executive Officer, Angel One",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,7830b4ec-539c-4827-bc28-e97ac811de90,2026,6a7c768116afc6a8747c99a0
A0343,Beyond Transaction Monitoring: Hunting Mule Networks in Real Time,2026-09-09,11:00,11:40,The Studio,Panel Discussion,"Mule Networks, AI for Fraud Detection, Financial Crime Intelligence",Mule Networks;AI for Fraud Detection;Financial Crime Intelligence,public,false,"Exploring next-generation approaches to detecting organised financial crime through network analytics, AI, and cross-institution collaboration.",Devraj Sanyal;Rana Ashutosh Kumar Singh;Surendra Kumar Vishwakarma;Shiladitya Mukhopadyaya,"Devraj Sanyal, Chief of AI, and Data Science Officer, Reserve Bank Innovation Hub (RBIH);Rana Ashutosh Kumar Singh, Managing Director (IB, GM&T), State Bank of India;Surendra Kumar Vishwakarma, General Manager, Punjab National Bank;Shiladitya Mukhopadyaya, Global Head - Truecaller for Business, Truecaller",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,dbee1d00-824f-44b8-9880-ec998ee4e56c,2026,6a7c768116afc6a8747c99ab
A0455,India's Next-Gen Merchant Stack: Tokenisation Tap-to-Pay and Contextual Credit at the Point of Sale,2026-09-09,11:00,11:40,Lotus 3,Panel Discussion,"Merchant Stack, Tap-to-Pay, Embedded Credit",Merchant Stack;Tap-to-Pay;Embedded Credit,public,false,"The merchant experience is being transformed by tokenisation, soft-POS, and embedded lending. This discussion looks at how to redesign the merchant stack for safety, convenience, and better working capital access.",Arif Khan;Sandeep Indurkar;Kush Mehra;Yuvraj Singh Shekhawat,"Arif Khan, Chief Innovation Officer, Razorpay Software;Sandeep Indurkar, CEO - Payments, BharatPe;Kush Mehra, President And Chief Business Officer - Payments Business, Pine Labs;Yuvraj Singh Shekhawat, CBO, Merchant Business, PhonePe",Ripunjai Gaur,"Ripunjai Gaur, Chief Operating Officer, Paytm",active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,49a43b46-701a-4283-93e5-fd133bf793a0,2026,6a7c768116afc6a8747c99a9
A0740,"The Future of Bill Payments: Intelligent, Tokenised, and Always-On",2026-09-09,11:00,11:40,Hall 205 A&B,Panel Discussion,,,public,false,"Examines how programmable money, AI orchestration, and tokenisation are transforming large‑scale bill payments into intelligent, rule‑based financial flows. Highlights new opportunities for trust, control, and scalability.",Anjani Kumar Rathor;Deepak Mahaur,"Anjani Kumar Rathor, Group Head - Digital and Customer Experience , HDFC BANK;Deepak Mahaur, Head - Digital Platforms, Channels & Partnerships, ICICI Bank",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,c531ccfe-9121-46d7-9f25-6e4dbbeb4e35,2026,6a7c768116afc6a8747c99a7
A0900,Agentic AI and the Future of Financial Services,2026-09-09,11:00,11:40,Hall 103,Panel Discussion,"Autonomous Workflows, Agentic AI, AI Architecture",Autonomous Workflows;Agentic AI;AI Architecture,public,false,"Evolution from GenAI assistants to end-to-end autonomous execution systems. As Generative AI matures, the focus is shifting from experimentation to execution. Agentic AI systems can understand context, coordinate actions and automate complex workflows across customer journeys, lending, operations, compliance and service delivery. This session will explore how financial institutions are moving beyond AI assistants to deploy autonomous systems that drive real business outcomes, while balancing governance, trust and human oversight in regulated environments.",Maitreya Wagh;Rohit Arora;Shashank Sharma,"Maitreya Wagh, Co-Founder & CEO, Bolna;Rohit Arora, Chief Executive Officer, Biz2X;Shashank Sharma, Co-Founder & Director, Scoreme Solutions",Vikram Raichura,"Vikram Raichura, Founder & MD, Helo.ai by VivaConnect",active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,1e8cf5f3-a0e1-4b03-b877-7718d3b64c4d,2026,6a7c768116afc6a8747c99a3
A0902,Fine-Tuning vs RAG vs Foundation Models: Choosing the Right Model Strategy for Building AI for FInance,2026-09-09,11:00,11:40,Hall 203,Panel Discussion,"Enterprise AI, Model Architecture, RAG & Fine-Tuning",Enterprise AI;Model Architecture;RAG & Fine-Tuning,public,false,"As enterprises move AI from pilots to production, choosing the right model strategy is becoming a critical technology and governance decision. This technical session will compare fine-tuning, retrieval-augmented generation and foundation model approaches for enterprise deployment in financial services. The discussion will explore when to use each approach, how to balance accuracy, cost, latency, data security, explainability and scalability, and what architecture choices are most suitable for regulated environments.",Santosh Bhat,"Santosh Bhat, Chief Data Scientist and Head of Technologies , Policybazaar.com",Vignesh Kumaran Subramaniam,"Vignesh Kumaran Subramaniam, Head of Product, KFintech",active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,183e53bf-3f0f-4720-9067-6a9cde313bb5,2026,6a7c768116afc6a8747c99a5
A0941,From Access to Ownership: Where Financial Institutions Build Their AI Edge,2026-09-09,11:00,13:00,Hall 102,Roundtable,,,invite-only,true,"As AI becomes the substrate for underwriting, servicing, and risk, the edge no longer comes from access to a model, every institution can rent the same one, but from owning it: running and improving it inside your own environment, so it gets sharper with every interaction. This roundtable works through the case for sovereignty, the economics behind it, and what it takes to build an AI capability a regulated institution can truly call its own.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,1dedfc21-102f-4c0c-b752-5a7e345f8f49,2026,6a7c768116afc6a8747c99a2
A0983,AI-Powered Personal Finance for the Underserved,2026-09-09,11:00,11:40,Hall 204 A&B,Panel Discussion,"AI Finance, Financial Inclusion, Personal Finance",AI Finance;Financial Inclusion;Personal Finance,public,false,"Designing ""JanArth.AI""-style apps for rural communities in Africa, LATAM & Other emerging economies Automating personalized alerts for government subsidies and savings goals.",Kamal Budhabhatti,"Kamal Budhabhatti, Founder and Head of Innovation, Craft Silicon",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,df548228-9009-41af-8a99-0a945574abaf,2026,6a7c768116afc6a8747c99a6
A1008,From Commute to Connected Journeys: Enabling & Scaling Seamless Digital Payments in Bus Transit,2026-09-09,11:00,11:40,Hall 202,Panel Discussion,"Transit Payments, Smart Mobility, Open-Loop Payments",Transit Payments;Smart Mobility;Open-Loop Payments,public,false,"This panel explores how digital payments can transform bus transit systems at scale, addressing challenges in fare collection, interoperability, and deployment. It highlights innovations like open-loop payments, offline processing, and AFC systems to enhance commuter experience and revenue assurance. The discussion focuses on building a unified, inclusive, and sustainable payments ecosystem through public-private collaboration.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,70a1a3b9-7e03-4eea-9f5e-49416886180b,2026,6a7c768116afc6a8747c99a4
